web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,Rate,Seller_Name,Seller_Rating,Available_Colors,Product_SKU,Product_Description,product title,original price,discount,final price,image_1,image_3,Spec,comment count,rezayat
"1771406630-1","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-2","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-3","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-4","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-5","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-6","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-7","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-8","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-9","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-10","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-11","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-12","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-13","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-14","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-15","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-16","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-17","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-18","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-19","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-20","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-21","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-22","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-23","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-24","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-25","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-26","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-27","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-28","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-29","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-30","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-31","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-32","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-33","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-34","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-35","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
